convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.5445552839209531,0.356258622149611,0.02,23.82,18.190253052732636,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.8329917150239391,0.10104746086082912,0.02,50.02,4.043084294476792,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.782865416403935,0.19660993888362996,0.02,48,9.376479475098252,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.8384554126508653,0.07116821899664302,0.02,52.32,1.8006801436101407,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.7650629902638377,0.20410033139154157,0.0,51.34,10.046036887392816,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.801394074905445,0.13644178031753276,0.0,53.12,5.9372226036167755,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.7949547886959452,0.08150412210450166,0.0,53.96,0.1979486637221574,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.843428417429425,0.06714600750944069,0.04,50.46,4.404126080235697,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.8051340337575976,0.18466089163690863,0.0,48.02,8.71660390711138,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.7981015192698019,0.13420501687711486,0.0,52.2,5.872801368884133,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.7803474462710476,0.16877167336097587,0.0,52.24,8.30185619765427,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.8097264010426083,0.06431787809480742,0.02,53.58,2.5482286765035633,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.7676726330780357,0.1355690267162204,0.0,53.1,5.935881895519065,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.7256785241087191,0.2470602983506953,0.0,38.18,13.076993350997805,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.7635703147308753,0.21262483697885917,0.04,41.98,11.858846693416657,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.7712243546757943,0.1390804302041033,0.0,47.58,9.934664112108077,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7715412166605649,0.08194699872135203,0.0,49.44,8.767193021109307,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.7497126120837191,0.13620403911000648,0.0,46.98,11.978705595977473,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.7533786866004483,0.17813953643708558,0.0,49.38,10.007935626801567,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.7658401252551941,0.15145287466643442,0.02,36,13.240321840838295,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.739081390181182,0.18999515979019455,0.02,37.5,12.68978377455258,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.7791663268167648,0.12868133394135758,0.0,46.08,9.985377063588576,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7263263728080257,0.17409778019779443,0.0,45.74,13.928109882462845,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.7478620839456835,0.1446419644754352,0.0,49.1,10.469099331667769,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.7719714211634747,0.1419539635870167,0.0,48.38,10.163741075660145,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.7752239966668275,0.1491070825721922,0.0,39.04,12.806184730314442,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.7300425370621901,0.21137589413454688,0.0,36.62,12.29383452576692,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.7814205607011594,0.18829995140124114,0.0,44.42,13.119684540757053,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7949382827973769,0.06854265144791952,0.0,50.9,7.225945316308843,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.7833375541169147,0.07578821092793918,0.0,51.4,6.752172741769414,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.7745970782761806,0.07448752392722664,0.0,48.88,9.929629953850656,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.7791213861991675,0.0987140894540805,0.0,29.58,10.051073655717238,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.7773043588103039,0.16936374798669696,0.02,29.36,10.886726612096522,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
Genetic algorithm,0.7632125779527849,0.1919064468505128,0.0,37.46,12.985407822880674,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.7828402429064865,0.09266079116046433,0.0,36.3,11.957834081403176,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.7379380609591459,0.18014905236972106,0.0,35.06,12.120837177255993,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.7820045551165051,0.09519687147252444,0.0,39,12.43595839589735,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.7629906726642165,0.18200518783022862,0.02,26.54,10.392717230280608,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.7595156704268068,0.1532378373721023,0.0,28.42,10.919164952747353,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
Genetic algorithm,0.6915777010948664,0.2532093465279856,0.0,37.24,14.841420252187485,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.7588862246553582,0.1746644081393133,0.0,37.22,11.13972483447213,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.757489436330049,0.07405572129834416,0.0,39.32,11.470352199990929,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.7458696532544686,0.13457996605425623,0.0,34.8,11.626851399643316,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.747762866190408,0.15799185459755574,0.0,29.3,10.186525714022862,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.7610144335807156,0.1604045239998364,0.02,28.82,10.978067187974096,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
Genetic algorithm,0.7851911546543172,0.11579090145794786,0.0,38.3,10.964227547542313,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.7560788295905794,0.15079068913959923,0.0,36.98,12.564105009664539,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.758969281499206,0.11347819798573985,0.0,35.48,12.362286295381594,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.7183021118420129,0.1446327944473337,0.0,33.44,12.508217706934975,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.7128810342450607,0.17458580310053945,0.02,23,6.809357307321706,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.693162400807444,0.19541678747347963,0.0,20.8,5.291502622129181,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.7307398771442838,0.14134443959876763,0.02,23.4,8.58570240075241,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.7251717810416635,0.10194787919895695,0.0,23.84,7.794189358432475,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.7174552284422575,0.15533680264492067,0.0,23.96,6.0236269499906,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.7199483312365377,0.17946509759573304,0.0,23.3,7.497618669570073,pop_size=6; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.6542409844868878,0.20390966311783904,0.0,20.9,6.958330787404316,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.7283635434917936,0.19764289838202803,0.0,20.1,6.497252166438187,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.7348024484236776,0.17199889697441104,0.0,26.5,11.040278760160035,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.7157231384777218,0.17066699848108868,0.0,24.12,6.847135554823086,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.7264548435519004,0.1688534364364147,0.02,23.46,8.894414665670697,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.7082371965946717,0.14383043138234078,0.0,23.4,7.785386624822122,pop_size=6; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.7314625313242201,0.12876223021933816,0.0,20.3,6.267017648298243,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.7158682129745491,0.14667343942684055,0.0,21.56,5.592122739594856,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.7003389024024825,0.23042057593986104,0.02,24.1,9.570895507544032,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.6885486929212435,0.21275062762175917,0.0,23.1,8.192206351036281,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.7142151161696475,0.15292735663574047,0.0,24.72,8.098979527555006,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.6871603705881973,0.2130523514993602,0.0,22.42,7.434310969540939,pop_size=6; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.7985698276204364,0.08441244186273446,0.0,55.94,2.6061935649447037,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.8155825576643421,0.0721413796698797,0.0,55.04,2.6569892428714676,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.8030050058027263,0.07348466123689451,0.0,54,4.228185310556784,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.7983035375424652,0.0778573011037578,0.0,51.08,2.9543465039338432,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.7957579418889387,0.0882035349381471,0.02,49.74,4.610591179058079,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.7948760906998766,0.08279781577831935,0.0,50.54,2.159081437338857,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.8017727014103724,0.07621677359023182,0.0,53.2,2.3647064796066926,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.8051514773519771,0.08817656455705011,0.0,53.22,2.3412015055940656,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.8167033905832192,0.0838596228295371,0.02,53.76,6.447780823742415,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.8086658597372562,0.06100746148641996,0.0,51.06,2.9025674771111993,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.7888295434079544,0.07264522756900893,0.0,51.08,2.9543465039338432,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.7657397991883428,0.07709486383078919,0.0,50.18,1.2727922061357855,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.8055701750851646,0.06873368740112751,0.0,54.98,2.045303230849267,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.7793662256539504,0.08093330415322723,0.0,54.68,2.19870091515097,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.8233055993929398,0.07481406119305062,0.0,55.36,4.099576882099529,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.7922526333294384,0.07012966684908974,0.0,50.9,2.727411870290969,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.7869631233915939,0.05987349791980024,0.0,50,0.0,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.7899705475522525,0.08837744167632572,0.0,51.06,2.9025674771111993,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.8251943207859973,0.06790536563785662,0.0,54.42,2.733690038115111,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.8073343515542452,0.1067573556453892,0.0,55.58,2.2139631101401,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.8093693363402358,0.07050309811669259,0.0,53.02,4.098232570765309,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.793569336184657,0.07930522759128714,0.0,51.08,2.9543465039338432,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.8049400885860113,0.06458592938237623,0.0,51.8,3.6365491603879585,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.8080576012455272,0.06817063974214867,0.02,50.54,2.159081437338857,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.8116169822822444,0.13326483172681017,0.02,51.96,6.486909896090742,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.8001037207574067,0.08361825115858987,0.0,53.04,2.3815618267628236,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.8086086527761476,0.07502282756228106,0.0,54.88,3.820674157842849,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.807859324290359,0.08961300646883384,0.02,50.5,4.021625217216928,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.8150964339673483,0.05859277670977627,0.0,50.9,2.727411870290969,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.7810898511819392,0.09614474844346574,0.0,50.54,2.159081437338857,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.7902844420737601,0.18637228552565221,0.02,52.04,8.675463876323143,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.8188827632806532,0.08479996266131312,0.0,54.3,2.2879453397209955,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.8143764001842408,0.08860467459342197,0.0,54.96,4.154957697665255,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.7903389330051003,0.07041767628523746,0.0,50.36,1.7815379734994166,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.8004897452877153,0.06816811988353759,0.0,50.52,2.0823848180901257,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.8171945450034855,0.0738762637219282,0.0,50.9,2.727411870290969,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.8018712995219852,0.09061825614463181,0.02,52.96,3.225915468862273,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.814578947844467,0.0852319585758473,0.0,53.06,2.9025674771112,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.7849096102605545,0.0915134029140044,0.0,55.22,4.057193158641897,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7853964543792565,0.07177056070086986,0.0,50.9,2.727411870290969,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.7781053714323923,0.08089227918262229,0.0,51.08,2.9543465039338432,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.7963015416303559,0.07662741058641236,0.0,50.7,2.4011051877102303,pop_size=10; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.814616524340942,0.07952308403530614,0.0,51.94,4.186518694035678,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.7974777885295397,0.07982667743199404,0.0,50.84,6.158982158156475,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.7741393519821638,0.08991776439719508,0.0,55.8,3.6140316116210047,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7908677288391632,0.08822009811995399,0.0,51.58,3.4112060228916463,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.813303577029074,0.07336111786886865,0.0,50.54,2.159081437338857,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.792173496175315,0.06754029868019758,0.0,50.86,2.6108877214230315,pop_size=10; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.807026319381612,0.08243882982313153,0.02,52.18,3.286894198082402,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.8057703771657572,0.08618702309659361,0.0,51.88,3.706805654908995,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.798113383861017,0.07397009293056094,0.0,54.96,3.8648600048569492,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.7834987410365111,0.07470345552130811,0.0,51.62,3.492791410424432,pop_size=10; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
